               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.02184,            0.018725,           0.0071357,             0.77741,             0.72723,             0.81221,              0.4897,            0.018628,            0.006051,            0.004533,            0.070246,            0.003306,            0.003306
                   1,            0.022705,            0.017526,           0.0052173,              0.8023,             0.75173,             0.83887,             0.46003,            0.021289,           0.0057381,           0.0050449,            0.040082,            0.006475,            0.006475
                   2,            0.027421,            0.017045,            0.005763,             0.68549,             0.76615,             0.80954,             0.43132,            0.024174,           0.0058412,           0.0044795,           0.0097523,            0.009479,            0.009479
                   3,            0.029675,            0.017183,           0.0063083,             0.76825,             0.64412,             0.72344,             0.42178,            0.024382,           0.0060029,           0.0033408,           0.0092575,           0.0092575,           0.0092575
                   4,            0.027684,            0.017464,           0.0070877,             0.67999,              0.6535,             0.68177,             0.37859,            0.021272,           0.0065986,           0.0069446,           0.0092575,           0.0092575,           0.0092575
                   5,            0.026118,            0.016643,           0.0052636,             0.72281,             0.73975,             0.76765,             0.40956,            0.023548,           0.0059494,           0.0037562,             0.00901,             0.00901,             0.00901
                   6,            0.028103,            0.017628,           0.0076088,             0.71646,              0.6862,             0.73285,             0.38907,             0.02369,           0.0062578,            0.005534,           0.0087625,           0.0087625,           0.0087625
                   7,             0.02889,            0.018579,           0.0078469,             0.77947,             0.70772,              0.7354,             0.38572,             0.02255,           0.0063591,           0.0034675,            0.008515,            0.008515,            0.008515
                   8,            0.026271,            0.018873,           0.0086191,             0.73634,             0.69914,             0.71635,             0.38522,            0.022753,           0.0063538,           0.0034885,           0.0082675,           0.0082675,           0.0082675
                   9,             0.02828,            0.018993,           0.0084067,             0.72721,             0.72812,             0.76742,             0.42965,            0.020566,           0.0065508,           0.0075131,             0.00802,             0.00802,             0.00802
                  10,            0.027375,            0.018686,           0.0083473,               0.781,             0.72001,             0.79175,             0.44703,            0.021708,           0.0065836,           0.0040395,           0.0077725,           0.0077725,           0.0077725
                  11,             0.02604,            0.019037,           0.0096624,             0.77543,             0.70824,             0.78681,             0.42931,             0.02175,           0.0061713,           0.0048473,            0.007525,            0.007525,            0.007525
                  12,            0.026015,            0.018585,            0.009359,             0.64916,             0.70145,             0.68053,             0.39339,            0.021827,            0.006262,           0.0063789,           0.0072775,           0.0072775,           0.0072775
                  13,            0.024774,            0.018369,           0.0090848,             0.75736,             0.71562,             0.77052,             0.41628,            0.021487,           0.0063077,           0.0064447,             0.00703,             0.00703,             0.00703
